review,sentiment,product_category
Cute enough  but i couldn't figure out what to do with the tie that didn't make it look like an extra set of sleeves  oddly placed.,0,Sweaters
The length in the front is too short and the bottom flares a lot which is really unflattering. i love the top half of the shirt but the bottom half should be more form fitting.,0,Knits
I love the idea of this top and ordered it in white. it is a great design and proportion is nice with jeans. the front is off white t shirt material with a pocket and the back is a light grey heathered panel. i am returning it as it is very thin and the quality is cheap looking. if the grade of material had been a bit thicker and better made  then it would have been a winner!,0,Knits
This sweater is so cute and seems high quality. i would love to keep it but it is way too cropped for my taste  going down just below my mid section. i wish it had been cut longer- i would have kept it.,0,Sweaters
Oh what a disappointment! i was looking forward to wearing this as a layering piece with the shawl cardigan. the material lacks serious quality and it was ripped on the seam. so  back it goes. and  i am flabbergasted at the price retailer is charging almost $60 for this top!,0,Lounge
I finally found this dress in store today and wow! i cannot believe this cheap looking dress is from ms! they have been among the top at retailer and this unlined  baggy  cheap velvet sub is a shock! what happened? only the color is nice. please get back to yourself ms!,0,Dresses
I was so excited to receive this topped then i tried it on. i am a petite and i normally wear an xs so i ordered it in both a size 0 and a size 2. it was huge! it looked like i was wearing a potato sack!!! i really wanted it to work because the fabric is absolutely beautiful! i am so disappointed.,0,Blouses
It is a beautiful sweater  but it is cropped and boxy.,0,Sweaters
Great color  soft fabric  but waaaaay too long. more like a night shirt than a t-shirt.,0,Knits
I saw this dress and immediately started daydreaming about wearing it while honeymooning in italy along the amalfi coast or the cinque terre with my husband. and then i tried this dress on and immediately woke up. the cut is a disaster  the quality is terrible  and the dress just plain didn't work. the strips of elastic were sewn unevenly  giving the appearance that there was one large breast and one non-existent breast. the neckline was so long that it had to have the elastic run over the outsi,0,Dresses
"The small  zipped and laid flat  measures 16"" across at the bottom of the armholes  11"" at the waist and 18"" from shoulder seam to bottom edge. it's too small for a size 0  and not by just a little! too bad  because it really is very pretty.",0,Fine gauge
I ordered a large and despite wearing a large in many other items from antrhopologie  this item was too small  especailly across the bust. it was very well-made and the color green is beautiful  but unfortunately  i will not be able to wear it. so disappointed.,0,Dresses
This jumpsuit is so cute and it looked amazing on. i had to return it because of the poor design. it was extremely hard to put on and take off! there are so many buttons to do and undo which are not as easy as snaps! the fabric buttons definitely make a great look to the jumpsuit but there should be a zipper on the side for easy access  or use snaps instead of the loops for the fabric buttons. what a shame of a lovely and classy design on a good quality material  but not worth it if it's difficu,0,Dresses
I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,0,Sweaters
This dress is really nice and lightweight. the slip is snug so the outer part floats nicely. but..it adds a bit too much volume if you have a lot of curves. it disguises in a way but also is a bit less flattering. i really wanted to like it because it's so breezy but a tad matronly on me.,0,Dresses
Too small... too flare... nice thick fabric. not my favorite pant.,0,Pants
This runs super big and it just wasn't flattering--way too much fabric. i wanted to love this dress.,0,Dresses
I am a 32dd  5'4'' and 125lbs and this top was way too baggy. it looked awful. this is shapeless and oversized. i would size down or just pass.,0,Knits
Pretty color  but i was hoping for a thicker  higher quality material for the price. the material is lightweight and isn't tailored well. looks kind of sloppy.,0,Dresses
I loved this shirt! flattering and pretty. it's hand wash only or dry clean. i hand washed it and the blue t-shirt part of the shirt shrank  and now the front of the shirt is too short for me. would not recommend due to shrinkage... too bad.,0,Knits
So disappointed. bought these in a 29 and should've gone with a 28. they're super cute - i got the green. the fit is off. like the other reviews  they stretch out way too much. i would return these but have already washed them. they wash terribly  too. there are weird fading marks all over  even when washed in cold water like the tag states. so disappointed that i spent my gift card from christmas on these. i've been a loyal retailer customer for years and this is the first time i've been severely,0,Jeans
I was so excited for this dress to come. i am 5&#39;1&quot; and 100lbs so i ordered and xs petite. it was literally falling down around my shoulders and gigantic all around. maybe on someone taller this would have looked great. i was also disappointed that the blue shown online was not accurate. my dress was a much lighter blue. back to the store it goes.,0,Dresses
This is the 2nd time i've purchased a dolan top and returned it b/c it was dry clean only. both tops were what i consider to be casual tops to be worn with a pair of jeans  running errands  etc. i do not dry clean this kind of casual shirt. it is made out of rayon  and that's the problem i think.  i purchased this in the wine color and it is a lovely color  hangs nicely  doesn't cling. the sleeves are a bit long but i could live with that -- i just pushed them up. as a turtleneck  it was a bit l,0,Knits
I don't typically write bad reviews  but this dress is so bad and i want to save someone else from buying it. i read the mostly bad reviews and still purchased anyway (my fault i know). the dress is super stiff ( i know denim can be that way and it is possible it would soften up after a few washes). i'm typically a 6/8 and the size small swallowed me  and the xs was big everywhere except through the bust (i ordered both sizes to try). i wouldn't recommend buying this if you are a size 8 or small,0,Dresses
"I loved this color and ordered it online because i thought it would work for both casual and work days dressed up a little. ummmmm  no. it's weird and boxy and does not look at all like it does on the model. i think maybe if you have no bust whatsoever and size way down it would look okay. i'm only a 34b  weigh 110 pounds  5'3"" and it made me look huge and awkward. this is going back!",0,Knits
I wanted to love this tunic sweater. the material is so soft and a perfect weight. the color is pretty. bu the fit absolutely did not work for me. the tunic runs very small. a large usually fits me but i felt like i was wearing a small. the slits are quite high. i was sorry to do it but this one went straight back!,0,Fine gauge
It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,0,Intimates
Oh elevenses  i love your pants..the fabrics  the details  the length. i've found elevenses to be classic work pants. reliable  professional  well made. these are none of those things. the cardinal trousers are thin and the rise feels much higher that's it appears in the picture. the red pair are thin  stretchy and cheap. both pairs have to go back. i'm truly sad.,0,Pants
"If you are thinking about purchasing this dress without trying on in person  i bet you aren't going to be happy with it. for a phisique that is 5' 3"" and 115lbs  this dress is not too short. however  the back key hole design is just not flattering. i felt like clothes in the back shoulder area is not fitted well and the zip up closure is not all the way zipped up even though it was so.",0,Dresses
"Was excited to try this interesting skirt  as a mega bailey 44 fan. however  this skirt didn't fit well. the waist was fine but it then was boxy and shapeless on me in an xs/size 0. my piece also had a wrinkle from folding and i'm not sure how it would easily come out but the main thing is that the lines weren't flattering to the body. the ""vegan"" quilting isn't luxurious. i thought the diagonal zipper style was cool but it doesn't lay to advantage when worn and i'm an easy fit. length is so-so ",0,Skirts
This is a beautiful dress. the quality is excellent. the 3 layers and the embroidery are beautiful... however it just didn't look right on me. it looked like a maternity dress. i am very petite  short with a big bust and it just did nothing for me. i think this style would look best on a tall woman with a smaller bust. unfortunately i will be returning this dress.,0,Dresses
This was a disappointment because beautiful fabrics with interesting design are a rarity--and especially at this length! unfortunately  this is a mess in terms of proportions. if a size 2 can barely get it off  then there is a design flaw. sadly  the fit was so strange that it did not seem that simply sizing up would correct the flaws.,0,Dresses
I've never had a problem with pilcro jeans. i own several pairs. however  i ordered my regular size 28 (i'm 5'3  120 pounds) and not only were these jeans thin  they had zero stretch and after 1 hour of wear stretched out horribly. they fit really loose and hung around my knees and legs which is very disappointing for a skinny jean.,0,Jeans
I love the colors of this dress  and i waited for the sale since it isn't really good for work. i wear size 6 in hd all the time  but this one doesn't fit at all on the top. the bust is cut for someone really curvy  but the bottom is for someone really straight. i don't know what they were using for a model  but this has to be tried on before purchased. the material is also rough  and there is no lining to protect you from that. i love my hd dresses for style and functionality  but this one is j,0,Dresses
I loved this dress before putting it on  but it was just not the right cut or style for my body type. it is very roomy and full and looked like a maternity dress which was not a look i was going for. sadly this will be going back. i loved the print and the feel of the material. just not a flattering cut for me.,0,Dresses
I have had this shirt for a little over a month. i've wore it maybe 3-5 times and there is a small hole in the middle of the sleeve on my shoulder. it's not even on a seam  so i can't fix it. i expect much better quality from retailer. don't buy this. the quality is very disappointing. which is really unfortunate because this is a very nice fitting shirt and goes well with pencil skirts.,0,Knits
"1.) if you look at the 4th photo of the grey shirt and zoom in you can get an accurate view of the back: this shirt is attached in not one  but two places in the back (in the photos of the black shirt it looks like it is only attached  or ""knotted"" in one place  and that is not the case). disappointing.   ----------  2.) unless you want to wear this as an off-the-shoulder shirt with a strapless bra size down. caveat: sizing down will become problematic though for those with large arms as the sle",0,Knits
The shirt is very big. it would be cute as a maternity shirt.,0,Knits
The fit of the top is true to size  but i really don't like the taupe terrycloth-like sweatshirt under the white lace. the white lace is bright white and seems very sturdy  but it makes the sweatshirt underneath look very dirty and very noticeably taupe. it is terrible paired together. i also didn't like the feel of the terrycloth-like fabric against my skin. even though this is a good quality piece with a lot of interesting detail  i'm absolutely sending it back.,0,Knits
I wish this shirt would not have had so much material. it would make a great maternity top! if you are really thin  it might work for you too.,0,Blouses
I wanted to like this so much. it's a great good girl dress  church dress. however  it makes no sense. it's a summer dress with massively thick lining that snags i'm petite and busty and it made me look and feel very wide.,0,Dresses
I thought this would be cute with leggings based upon the length on the model. i forget that the models are almost 6 feet tall. this has a polyester slip goes under it that snaps onto the shoulders. it came down to my knees and was completely like a sack no leggings and boots with this one. lovely material but not at all figure flattering.,0,Dresses
I'm always looking for pieces that would good for either layering or worn alone. this looks cute on the model  but when i received it  it's actually very flowing. i wanted more of a straight cut. doesn't work very well on my body. i'm 5'3  123 lbs.  34-d. it's going back.,0,Knits
So you're thinking this is a red and black skirt right? nope. it's an obnoxious cherry red netting with cranberry crushed velvet insets overlaid on bright red actual spandex. spandex that shows every wrinkle and panty line. it's really god awful.,0,Skirts
When i saw this item online  i ordered it right away. loved the color and the oversized  comfy look to it. the pros: very soft the color a deep cranberry as pictured. the cons; the low back - in the photo  the model's arms cover it up. when i put it on  it looked like an oversized flap that stuck out on the sides and was very visible from the front -- and because the material is unstructured  that made it look worse. i loved it except for this one feature  but because it was so detracting  i had,0,Sweaters
I ordered the black and white pattern  which was ok. i got a small  but the shirt was very square - with a short and wide fit! i doubt an xs would have helped with such a boxy shirt. sent this one back.,0,Knits
