review,sentiment,product_category
Yeah i know that sounds ridiculous. but this is really a nice piece  the fabric is thin and soft with a little structure to avoid any pajama vibes. the color is perfect  a mid-deep indigo with just enough fading. i don't find it unwieldy or challenging to get on and off  and i like how the fit is adjustable with the waist tie. that said  it does run small. i'm usually a 6/28 and started off with a m. it was pretty form fitting  and the ct risk was at orange level. then the zipper wouldn't stay u,1,Pants
I love this top  the detail and embroidery make it great for during the day or at night. the small fits me perfect and i don't wear it with a camisole like some have mentioned  but might if i wore it to work,1,Blouses
Material is awful. not soft at all. colors are much darker than shows online. it is actually very short not at all as it looks on the model. it went back.,0,Blouses
I've been looking for the perfect white eyelet maxi  feels like a perfect summer staple...but sadly this was not it. quality isn't great which is surprise on a $168 price tag. top of dress is lined but cheaply so it's somewhat see through. the dress was returned.,0,Dresses
I saw this top online and fell in love with it  as i live in white cotton comfy tanks  but i was concerned that it might make me look like i was wearing a tent from the side profile since i am top heavy - 36d  and i happen to have this problem with some tops and dresses. so i went into the store to try it on in a size l and i was shocked how not only did it not look like a tent it had a slimming effect! i felt so attractive in it i had a hard time looking at myself in the mirror (believe me this,1,Lounge
I love this dress! i was worried it would swallow my petite frame but it is flowy yet flattering. i have worn it to several different occasions. it looks great with tights and boots and just flats. the lace detailing makes it unique.,1,Dresses
I originally ordered this blouse to wear for work. i was pleasantly surprised that i could wear it casually with jeans! fits comfortably and hugs my curves!,1,Blouses
Bought this early in the season - probably washed and worn <8 times and there are small holes that have formed in the front towards the bottom...bummer!,0,Knits
"I wanted to love this romper  but it just wasted right for me. i am 5'5""  135lbs  34c  curvy/muscular frame and ordered size small. i may have liked it better with more room in the medium  decided to return. i still recommend trying this product  but it wasn't for me and my hips!",0,Shorts
I received this yesterday and the fit for me is so strange...to tight in the bust and the arms were to big for me..i am so bummed...the arms do not stay on my shoulders. i have many tops but maeve and they fit me well..this is the first one i have to return. this top is made well and i do recommend  but it should be tried on before purchasing as it is pricey if it does not fit you!,0,Blouses
I love this shirt. i ordered a large because i am taller  and i wanted the length to be right. while it's a little baggy  it's still very flattering and i've received lots of compliments on it. the color is exactly what is show in the image. it's a versatile shirt; depending on what you pair it with it can be appropriate for work  dinner  or a night out. i'd definitely recommend this shirt to a friend.,1,Knits
With a rather large chest  i am always having to size up in tops like this. the l fit well all over but the arm holes were just too low. even if i wore a navy bra (i got the navy version) it would still be cut too low. it's too bad because it is a beautiful and unique piece,1,Knits
These are the most flattering pair of white jeans i have ever found!! people stop me when i wear them and ask me where i purchased them and the name of the brand! flattering  comfortable and perfect for a casual weekend or going out! highly recommend!,1,Jeans
The item i received was not distressed. i bought one size larger thinking they'd be super slouchy  but they just looked sloppy. also  the hips puffed out in a very strange way. i wanted to love since they are so cute and soft  but i look like a man with hips in these jeans. returning this weekend.,0,Jeans
I ordered this in the pink color. the fit was fine  but i didn't care for how thin it was. there is lining  which i suppose is there to combat the thinness  but it's only in certain places. the lining should have been all over. maybe if i had gotten this in blue  it wouldn't have been so bad.,0,Fine gauge
This shirt fits great. normally wear an xs or a small and a small fits in this. comfortable and cute on. i wish i had ordered the other color as well.,1,Knits
This skirt looks and feels cheap  and the color is much more green than pictured. additionally  i comfortably wore a size 4 and then lost a few pounds  and this is still way too tight to be flattering.,0,Skirts
Love this tunic! i am a curvy gal (with a few extra 'curves' in the middle) and this is a perfect top for accentuating the good and masking the negative. i purchased the pink color and it is a gorgeous peachy- pink  a much deeper color than what is portrayed in the picture. i found it true to size. typically i wear a medium or large  depending on the structure and the medium fit well. a little more fitted on top and looser around the waist. i came back to buy another in the ivory but alas  it is,1,Fine gauge
I really want to like this dress - it's beautiful  but it just fits like a sack. the yoke exaggerates my bust and the dress makes me look 20 lbs heavier. perhaps if you are tall and thin like the mode  or small chested  it would be great! the quality and color is beautiful.,0,Dresses
I would have loved this sweater if it were true to the picture but the stripes are gray  not white. either i got a strange one or (as happens to me sometimes with retailer) the pictures are very misleading. disappointed because i wanted to love this.,0,Sweaters
I ordered this because it looked to be a good fit for my casual lifestyle. and it doesn't disappoint! it's cozy  lightweight but warm  flows well and looks great tied or worn loose. i ordered my regular size large in the grey. it fits as shown  just a bit longer because i'm short. the color is more of a blue gray with white striations that are well placed. it's really striking for such a casual piece. very pretty. highly recommend.,1,Fine gauge
I purchased this when it was on sale and it is a great  comfortable  and forgiving top. this top again runs a bit large  so i ordered a size down and it fits great. i think that they are off a bit on their description of the color. i ordered ?pink? but i would consider it more of an orangish red color. not my favorite but not terrible either. overall it is a great shirt.,1,Knits
The navy blue lines on my dress on the very top of the interior layer can be seen through the upper layer at the very top and it looks cheap. for this price  i would expect more thoughtful patterning. the fit is amazing  so i am debating whether i should keep or return.,0,Dresses
I found this skirt on the sale rack and apparently miss marked and i did not try it on. when i got home i tried it on to find it has this open flap in the front with a very short slip. the color is a dark navy. i love the brand because they claim on the label to be made in the usa  which is something i prefer. i am still on the fence about this skirt thinking maybe i would bring it to the tailor to see if the panel can be stitched to the faux leather material half way down to eliminate this full,0,Skirts
I bought the neutral color. this is a lightweight tunic sweater that can be worn during spring. the lace detail is so pretty...i ordered my normal size small and would have preferred an extra small...the top flows nice but would've been a better overall fit if i sized down. i'm 5'7 140 lbs for reference. make sure you size down at least 1 size.,1,Knits
I absolutely love the look and fit of these jeans. i did have to size down. i ran into problems after washing. the fraying on one leg was twice that of the other  looking very unbalanced. after looking closely i found that one leg had a top stitching very close to the fray to prevent further fraying. the other leg did not have this stitching  thus the fraying double in size. i have sent a request to customer service for a replacement pair. these are adorable jeans just be sure to check for stitc,0,Jeans
I was extremely excited to receive these pants  given the two positive reviews. i'm a petite woman and have trouble finding jeans with the right proportions. i sized down from my normal size (27 to a 26) and was swimming in these pants. i would have had to go down three sizes to make these work. i'm not sure if i received a defective pair or what  but be cautious ordering these pants.,0,Jeans
The colors on this sweater are cute  the fabric is good quality and not too thick for spring. the fit is tts.,0,Fine gauge
"I am 5' 8""  145 pounds with a 32 ddd bust. i typically purchase a small or a 4 to 6 in blouses. this blouse was small across the chest and therefore  i purchased a size 8. it is a nice fit. however  the button placement on the blouse does not work well for someone who is chesty. one button is placed slightly above bust line and the other slightly below. this causes a peek-a-boo space between buttons. therefore  i wear a bright white tank top beneath the blouse and wear the blouse unbuttoned to j",0,Blouses
Fits great. structured  but still comfy. figure flattering.,1,Dresses
I didn't even notice this tee online  but in person in the store  i instantly loved it. then trying it on  loved it even more. it is flattering without being too tight. i got an xs  which is my usual size. i'm not a huge fan of the 3/4 sleeve length in winter  so i almost wish it had been either long or short sleeve  but no biggie  i still love!,1,Knits
I had to return this because the lining is super short and uneven. its shorter in the back and falls weird. i love the color even better than the picture. but quality is lacking for this high price. i ordered the 4 petite and it fit but the elastic waist shows any bump in your tummy too. bummer,0,Skirts
Not sure who named this dress  but it isn't a swing dress. it's a beautiful dress out of very soft fabric  with elegant embroidery design and pretty fringe detail. and pockets! i've worn this dress with tennis shoes  leather flip flops  and heels and been complimented each time. love this dress!,1,Dresses
The comfort of this fabric is terrific. the swing-y style is easy to wear. however  i expected a black and white dress  which is how it looked on line. in person  the light portion of the dress is a marled oatmeal color. it is fine - just not what i expected.  if you are a fan of swing dresses  this is a great  casual choice.,1,Dresses
I was in love with the green print  so i ordered this despite the reviews. i wish i'd listened. the fit is incredibly weird--huge at the top but tapering in at the hips. so sad this didn't work.,0,Dresses
The blouse was not flattering on me. it would be for someone with a straight slim body type  it falls mid hips and so it accentuates my hips making them look larger. it's flared so it cannot really be tucked in.,0,Blouses
They're the same quality and fit as my hyphens from last year. easy purchase!,1,Pants
Don't pay attention to the less-than-flattering photo. these jeans are super cute and very flattering. they are actually long  not ankle length as the photo implies. high waisted with a 70s bell bottom vibe. nice light denim for year round wear. they fit like a dream.,1,Pants
I was really disappointed in the shirt. the blue embroidery is a lot darker than what is shown in the photo  and barely stands out against the black. the photo does not accurately depict this shirt. i will be returning.,0,Knits
Beautiful shape and colors but the fabric felt heavier than i imagined. sort of like heavy drapes. also  the length (as others mentioned) was too long. i am not normally a petite but the regular was too long. unfortunately  it has to go back.,0,Dresses
This top is a must have for summer. it is light and accentuates the figure. i'm 5'3 and many tops overwhelm me  but this is shorter in the front and a touch longer in the back. the cotton is very nice and it has a somewhat wider hem. if you have hips this somehow makes them look narrower.  if they had additional colors  i would have bought them all. i'm a 36c and the size 8 was perfect.,1,Blouses
"The fabric on this shirt was beautifully woven and so soft/cozy. but the shirt was so wide! i'm 5'2""  103lbs and got an xs. there was room for two of me in there. it draped very well  but instead of looking slouchy and cool  it just looked too big. so  back it goes.",0,Blouses
I love the skirt! the color is beautiful  but i didn't love the fabric. it's too delicate and not great for a mom with two busy boys.,1,Skirts
This was too big in the arms & i didn't like how there was only one button toward the top so that it made your body look hippy. little too itchy too. best thing about it was the look of the slouchy collar.,0,Sweaters
I love all jeans by mother  they are well made  fit great and look so cute with any type of shoes from heels  to flat to boots. these jeans are perfect to wear out or when paired with a blazer can be worn to work. i love these and have them in almost every color.,1,Jeans
I ordered this quite nice cardigan. i received the sweater promptly (yay fast shipping!) but never received the belt to it. i tried emailing about it  but didn't get a response. the sweater really is the softest thing ever but it will not close without the belt and trying to use a different belt just doesn't work. i hope to receive the belt soon  because i'd really like to wear this a lot this winter.,0,Fine gauge
"I love this dress! i purchased the neutral motif in a large and it fits wonderfully. i have a double d chest and the top of this fits almost perfectly. it's just a bit snug on top but still comfortable because of the fabric. i'm 5""3 and the dress isn't too long like most maxi's are on me. i always have great luck with maeve and plan on purchasing another right now!",1,Dresses
I love the look of this sweater  but just bought and put on at home and noticed 2 pea sized holes in fabric  near arm holes  but not on seams. not sure if i bought this way and did not notice or if fabric is just incredibly delicate. will try to repair but scated this will not hold up... look it over carefully before you buy  they kind of look like moth holes...,0,Knits
This top is absolutely adorable  i cannot express how much i love it. paired with skinny jeans and a bright cardi for the spring  this can easily transition into summer. it's actually cuter irl than in the picture. if you are on the fence about this  get it! you won't regret it.,1,Blouses
The fabric is great quality but it stretches too much around the waist making it look a little awkward. other than that the quality is good.,0,Knits
I love this top. i'm wearing it today. i bought it to wear under blazers and it works perfectly. i knew it would be slim fitting and while i normally buy med or sometimes small i bought the large and i'm glad i did. it's still form fitting without strangling me the color is very nice as well. nice fabric and well made. a great layering basic.,1,Layering
For the sale price  this is an amazing deal. i tried the white version of this shirt on in a size 10 because  being on sale  that was all they had available in the store. it was unfortunately too large with the 'v' of the shirt plunging rather low and the sleeves hanging off my shoulders  and i didn't buy it. when i came back a few days later  i found this in a size 6 in black. i honestly don't know my shirt size in numbers  but i'd consider this one a small to medium so i'd say it's fairly true,1,Blouses
This dress is so cute and so flattering. i loved the shape  but i wore it wonce and the fabric was pulling on everything! just holding a purse while walking managed to pull out a ton of the fabric! when you spend so much money on something you think the quality would be better..,0,Dresses
Lovely dress  but i would recommend ordering a size smaller than you normally do.,1,Dresses
I fell in love with this cute top  however after reading reviews  i am going to return it. seems there is a problem with it shrinking after following washing instructions. who wants to dry clean a tank top? not me  sadly. too bad. style was cute and color was awesome.,0,Knits
I bought this dress because it was cute  swinging and lightweight -- seemingly perfect for this hot nyc summer. after on wash and dry  the dress is already ripped around two buttons. i'll still wear it but i don't think it'll last until next summer. kind of pitiful since it wasn't a cheap-o dress. also it is big but that seemed to be sort of the point.,0,Dresses
